Date,Timepoint,SampleID,pCO2_Treatment,Rep,FC_probe,cell_type,Count,Mean_FL1,Mean_FL2,Ratio_FL1.FL2,
20220322,8_days,1,Low,B,JC-10_5uM,degranulated,3250,142456.99,40145.28,3.548536466,
20220322,8_days,2,Low,A,JC-10_5uM,degranulated,3027,143347.69,43788.64,3.273627361,
20220322,8_days,3,High,A,JC-10_5uM,degranulated,1954,156732.36,46021.21,3.405654914,
20220322,8_days,4,Low,B,JC-10_5uM,degranulated,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,High,B,JC-10_5uM,degranulated,2996,157188.64,43282.19,3.631716417,
20220322,8_days,6,High,A,JC-10_5uM,degranulated,2942,122081.64,33100.56,3.688204671,
20220322,8_days,7,Low,B,JC-10_5uM,degranulated,7064,277139.61,72631.07,3.81571702,
20220322,8_days,8,High,B,JC-10_5uM,degranulated,1395,160275.49,44357.06,3.61330282,
20220322,8_days,9,Low,A,JC-10_5uM,degranulated,2948,259728.64,74383.02,3.491773257,
20220322,8_days,10,High,A,JC-10_5uM,degranulated,3133,167899.78,48118.08,3.489328336,
20220322,8_days,11,High,B,JC-10_5uM,degranulated,13551,146272.72,42996.49,3.401968858,
20220322,8_days,12,Low,A,JC-10_5uM,degranulated,1704,150840.48,45196.78,3.337416515,
20220322,8_days,1,Low,B,JC-10_5uM,immature_granular,479,72135.55,29456.38,2.448893924,
20220322,8_days,2,Low,A,JC-10_5uM,immature_granular,340,130560,53811.5,2.426247178,
20220322,8_days,3,High,A,JC-10_5uM,immature_granular,247,105028.26,49477.81,2.122734616,
20220322,8_days,4,Low,B,JC-10_5uM,immature_granular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,High,B,JC-10_5uM,immature_granular,130,139242.01,58282.19,2.389100513,
20220322,8_days,6,High,A,JC-10_5uM,immature_granular,314,76151.15,29929.44,2.544355992,
20220322,8_days,7,Low,B,JC-10_5uM,immature_granular,363,211828.57,68078.1,3.11155232,
20220322,8_days,8,High,B,JC-10_5uM,immature_granular,278,107159.43,42282.3,2.534380344,
20220322,8_days,9,Low,A,JC-10_5uM,immature_granular,668,153532.14,72272.71,2.124344583,
20220322,8_days,10,High,A,JC-10_5uM,immature_granular,209,130346.35,44645.26,2.919601095,
20220322,8_days,11,High,B,JC-10_5uM,immature_granular,2350,83099.69,27344,3.039046592,
20220322,8_days,12,Low,A,JC-10_5uM,immature_granular,244,120459.82,58225.11,2.06886376,
20220322,8_days,1,Low,B,JC-10_5uM,mature_granular,1496,131937.26,35714.45,3.694226287,
20220322,8_days,2,Low,A,JC-10_5uM,mature_granular,691,195580.39,61641.72,3.172857441,
20220322,8_days,3,High,A,JC-10_5uM,mature_granular,542,153264.73,51073.98,3.000837804,
20220322,8_days,4,Low,B,JC-10_5uM,mature_granular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,High,B,JC-10_5uM,mature_granular,296,187649.46,56267,3.334982494,
20220322,8_days,6,High,A,JC-10_5uM,mature_granular,930,97681.92,25370.12,3.85027426,
20220322,8_days,7,Low,B,JC-10_5uM,mature_granular,714,259212.9,78158.4,3.316507247,
20220322,8_days,8,High,B,JC-10_5uM,mature_granular,591,141095.07,39556.22,3.56695028,
20220322,8_days,9,Low,A,JC-10_5uM,mature_granular,2381,218588.43,67743.35,3.226714209,
20220322,8_days,10,High,A,JC-10_5uM,mature_granular,699,208550.42,57974.44,3.597282182,
20220322,8_days,11,High,B,JC-10_5uM,mature_granular,4505,148053.61,40845.85,3.624691615,
20220322,8_days,12,Low,A,JC-10_5uM,mature_granular,472,147803.91,43081.06,3.430832714,
20220322,8_days,1,Low,B,JC-10_5uM,mature_agranular,674,99003.44,32884.63,3.010629586,
20220322,8_days,2,Low,A,JC-10_5uM,mature_agranular,687,67493.01,20911.52,3.227551608,
20220322,8_days,3,High,A,JC-10_5uM,mature_agranular,462,84137.61,26781.31,3.141654012,
20220322,8_days,4,Low,B,JC-10_5uM,mature_agranular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,High,B,JC-10_5uM,mature_agranular,720,86236.53,26348.91,3.272868973,
20220322,8_days,6,High,A,JC-10_5uM,mature_agranular,1468,82089.95,24334.11,3.373451916,
20220322,8_days,7,Low,B,JC-10_5uM,mature_agranular,2451,214096.23,57346.18,3.733400028,
20220322,8_days,8,High,B,JC-10_5uM,mature_agranular,471,77838.09,21589.99,3.605286061,
20220322,8_days,9,Low,A,JC-10_5uM,mature_agranular,1229,242214.1,74900.65,3.233805047,
20220322,8_days,10,High,A,JC-10_5uM,mature_agranular,721,102265.28,32710.12,3.126411031,
20220322,8_days,11,High,B,JC-10_5uM,mature_agranular,5065,100704.41,32258.05,3.121838115,
20220322,8_days,12,Low,A,JC-10_5uM,mature_agranular,784,84110.14,26550.89,3.167884014,
